Disease,Symptoms
Actinic keratosis,Symptoms Actinic keratoses vary in appearance Symptoms include: Rough dry or scaly patch of skin usually less than 1 inch (25 centimeters) in diameter Flat to slightly raised patch or bump on the top layer of skin In some cases a hard wartlike surface Color variations including pink red or brown Itching burning bleeding or crusting New patches or bumps on sun-exposed areas of the head neck hands and forearms
Acute coronary syndrome,The symptoms of acute coronary syndrome usually begin suddenly They include: Chest pain or discomfort This is often described as aching pressure tightness or burning Chest pain also is called angina Pain that starts in the chest and spreads to other parts of the body These areas include the shoulders arms upper belly area back neck or jaw Nausea or vomiting Indigestion Shortness of breath also called dyspnea Sudden heavy sweating Racing heartbeat Feeling lightheaded or dizzy Fainting Unusual fatigue Chest pain or discomfort is the most common symptom But symptoms may vary quite a bit depending on your age sex and other medical conditions You're more likely to have symptoms without chest pain or discomfort if you're a woman an older adult or have diabetes
Acute flaccid myelitis (AFM),Symptoms The most common signs and symptoms of acute flaccid myelitis include: Sudden arm or leg weakness Sudden loss of muscle tone Sudden loss of reflexes Other possible signs and symptoms include: Difficulty moving the eyes or drooping eyelids Facial droop or weakness Difficulty with swallowing or slurred speech Pain in the arms legs neck or back Uncommon symptoms might include: Numbness or tingling Inability to pass urine Severe symptoms involve respiratory failure due to the muscles involved in breathing becoming weak It's also possible to experience life-threatening body temperature changes and blood pressure instability
Acute kidney injury,Symptoms of acute kidney injury may include: Less urine output Fluid buildup which can cause shortness of breath and swelling in the legs ankles or feet Tiredness Confusion or fogginess Nausea Pain in the belly or in the side below the rib cage Weakness Irregular heartbeat Itching Loss of appetite Chest pain or pressure Seizures or coma in severe cases Sometimes acute kidney injury causes no symptoms Then it may be found through lab tests done for something else
Acute liver failure,Signs and symptoms of acute liver failure may include: Yellowing of your skin and eyeballs (jaundice) Pain in your upper right abdomen A swollen belly (ascites) Nausea Vomiting A general sense of feeling unwell (malaise) Disorientation or confusion Sleepiness Breath may have a musty or sweet odor Tremors
Acute lymphocytic leukemia,Signs and symptoms of acute lymphocytic leukemia may include: Bleeding from the gums Bone pain Fever Frequent infections Frequent or severe nosebleeds Lumps caused by swollen lymph nodes in and around the neck armpits abdomen or groin Pale skin Shortness of breath Weakness fatigue or a general decrease in energy
Acute myelogenous leukemia,General signs and symptoms of the early stages of acute myelogenous leukemia may mimic those of the flu or other common diseases Signs and symptoms of acute myelogenous leukemia include: Fever Bone pain Lethargy and fatigue Shortness of breath Pale skin Frequent infections Easy bruising Unusual bleeding such as frequent nosebleeds and bleeding from the gums
Acute sinusitis,Acute sinusitis symptoms often include: Thick yellow or greenish mucus from the nose known as a runny nose or down the back of the throat known as postnasal drip Blocked or stuffy nose known as congestion This makes it hard to breathe through the nose Pain tenderness swelling and pressure around the eyes cheeks nose or forehead that gets worse when bending over Other signs and symptoms include: Ear pressure Headache Aching in the teeth Changed sense of smell Cough Bad breath Tiredness Fever
Addison's disease,Addison's disease symptoms usually happen slowly often over months The disease can move so slowly that people who have it may ignore the symptoms at first Then a stress such as illness or injury makes symptoms worse Symptoms may include: Extreme fatigue Weight loss and loss of appetite Areas of darkened skin Low blood pressure even fainting Salt craving Low blood sugar also called hypoglycemia Nausea diarrhea or vomiting Abdominal pain Muscle and joint pain Irritability Depression Body hair loss or sexual issues in some people
Adenomyosis,Symptoms Sometimes adenomyosis causes no signs or symptoms or only mild discomfort However adenomyosis can cause: Heavy or prolonged menstrual bleeding Severe cramping or sharp knifelike pelvic pain during menstruation (dysmenorrhea) Chronic pelvic pain Painful intercourse (dyspareunia) Your uterus might get bigger Although you might not know if your uterus is bigger you may notice tenderness or pressure in your lower abdomen
Adjustment disorders,Symptoms depend on the type of adjustment disorder These symptoms can vary from person to person You experience more stress than would generally be expected in response to a trying event and this stress causes a lot of problems in your life Adjustment disorders affect how you feel and think about yourself and the world They also may affect your actions or behavior Some examples include: Feeling sad hopeless or not enjoying things you used to enjoy Crying often Worrying or feeling anxious nervous jittery or stressed out Feeling irritable or like you can't handle anything and don't know where to start Having trouble sleeping Not eating enough Having difficulty concentrating Having difficulty with daily activities Withdrawing from family and friends who support you socially Not doing important things such as going to work or paying bills Thinking about suicide or acting on those thoughts Symptoms of an adjustment disorder start within three months of a stressful event These symptoms last no longer than six months after the end of the stressful event But constant or lasting adjustment disorders can continue for more than six months This is especially true if the stressful event is ongoing such as being unemployed
Adnexal tumors,
Adrenal cancer,
Adrenoleukodystrophy,
Adult attention-deficit/hyperactivity disorder (ADHD),Some people with ADHD have fewer symptoms as they age but some adults continue to have major symptoms that interfere with daily functioning In adults the main features of ADHD may include difficulty paying attention impulsiveness and restlessness Symptoms can range from mild to severe Many adults with ADHD aren't aware they have it — they just know that everyday tasks can be a challenge Adults with ADHD may find it difficult to focus and prioritize leading to missed deadlines and forgotten meetings or social plans The inability to control impulses can range from impatience waiting in line or driving in traffic to mood swings and outbursts of anger Adult ADHD symptoms may include: Impulsiveness Disorganization and problems prioritizing Poor time management skills Problems focusing on a task Trouble multitasking Excessive activity or restlessness Poor planning Low frustration tolerance Frequent mood swings Problems following through and completing tasks Hot temper Trouble coping with stress
Adult Still disease,Most people with adult Still disease have a combination of the following symptoms: Fever Fever may rise to at least 102 degrees Fahrenheit (389 degrees Celsius) The fever may spike once or twice a day for a week or longer Rash A rash might come and go with the fever The rash usually appears on the trunk arms or legs Sore throat This is one of the first symptoms of adult Still disease The lymph nodes in the neck might be swollen and tender Achy and swollen joints Joints — especially in the knees and wrists— might be stiff painful and inflamed Ankles elbows hands and shoulders also might ache The joint discomfort usually lasts at least two weeks Muscle pain Muscular pain usually comes and goes with the fever The pain can be severe enough to disrupt daily activities Symptoms of this disorder can differ from person to person They can mimic those of other conditions including lupus and a type of cancer called lymphoma
Age spots (liver spots),Symptoms Age spots may affect people of all skin types but they're more common in adults with light skin Unlike freckles which are common in children and fade with no sun exposure age spots don't fade Age spots: Are flat oval areas of increased pigmentation Are usually tan to dark brown Occur on skin that has had the most sun exposure over the years such as the backs of hands tops of feet face shoulders and upper back Range from freckle size to about 1/2 inch (13 millimeters) across Can group together making them more noticeable
Agoraphobia,Typical agoraphobia symptoms include fear of: Leaving home alone Crowds or waiting in line Enclosed spaces such as movie theaters elevators or small stores Open spaces such as parking lots bridges or malls Using public transportation such as a bus plane or train These situations cause anxiety because you fear you won't be able to escape or find help if you start to feel panicked Or you may fear having other disabling or embarrassing symptoms such as dizziness fainting falling or diarrhea In addition: Your fear or anxiety is out of proportion to the actual danger of the situation You avoid the situation you need a companion to go with you or you endure the situation but are extremely upset You have major distress or problems with social situations work or other areas in your life because of the fear anxiety or avoidance Your fear and avoidance usually lasts six months or longer
Airplane ear,Symptoms Airplane ear can occur in one or both ears Common signs and symptoms include: Moderate discomfort or pain in your ear Feeling of fullness or stuffiness in your ear Muffled hearing or slight to moderate hearing loss If airplane ear is severe you might have: Severe pain Increased ear pressure Moderate to severe hearing loss Ringing in your ear (tinnitus) Spinning sensation (vertigo) Bleeding from your ear When to see a doctor If discomfort fullness or muffled hearing lasts more than a few days or if you have severe signs or symptoms call your doctor
Albinism,Symptoms of albinism involve skin hair and eye color as well as vision
Alcohol intolerance,Symptoms Signs and symptoms of alcohol intolerance — or of a reaction to ingredients in an alcoholic beverage — can include: Facial redness (flushing) Red itchy skin bumps (hives) Worsening of pre-existing asthma Runny or stuffy nose Low blood pressure Nausea and vomiting Diarrhea
Alcohol poisoning,Alcohol poisoning symptoms include: Confusion Vomiting Seizures Slow breathing which is fewer than eight breaths a minute Breathing that's not regular This is when there is a gap of more than 10 seconds between breaths Skin that looks blue gray or pale Low body temperature also known as hypothermia Trouble staying conscious or awake
Alcohol use disorder,"Alcohol use disorder can be mild moderate or severe based on the number of symptoms you experience Signs and symptoms may include: Being unable to limit the amount of alcohol you drink Wanting to cut down on how much you drink or making unsuccessful attempts to do so Spending a lot of time drinking getting alcohol or recovering from alcohol use Feeling a strong craving or urge to drink alcohol Failing to fulfill major obligations at work school or home due to repeated alcohol use Continuing to drink alcohol even though you know it's causing physical social work or relationship problems Giving up or reducing social and work activities and hobbies to use alcohol Using alcohol in situations where it's not safe such as when driving or swimming Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount Experiencing withdrawal symptoms — such as nausea sweating and shaking — when you don't drink or drinking to avoid these symptoms Alcohol use disorder can include periods of being drunk (alcohol intoxication) and symptoms of withdrawal Alcohol intoxication results as the amount of alcohol in your bloodstream increases The higher the blood alcohol concentration is the more likely you are to have bad effects Alcohol intoxication causes behavior problems and mental changes These may include inappropriate behavior unstable moods poor judgment slurred speech problems with attention or memory and poor coordination You can also have periods called ""blackouts"" where you don't remember events Very high blood alcohol levels can lead to coma permanent brain damage or even death Alcohol withdrawal can occur when alcohol use has been heavy and prolonged and is then stopped or greatly reduced It can occur within several hours to 4 to 5 days later Signs and symptoms include sweating rapid heartbeat hand tremors problems sleeping nausea and vomiting hallucinations restlessness and agitation anxiety and occasionally seizures Symptoms can be severe enough to impair your ability to function at work or in social situations"
Alcoholic hepatitis,The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes called jaundice The yellowing of the skin might be harder to see on Black and brown people Other symptoms include: Loss of appetite Nausea and vomiting Belly tenderness Fever often low grade Tiredness and weakness People with alcoholic hepatitis tend to be malnourished Drinking large amounts of alcohol keeps people from being hungry And heavy drinkers get most of their calories from alcohol Other symptoms that happen with severe alcoholic hepatitis include: Fluid buildup in the belly called ascites Being confused and acting oddly due to a buildup of toxins The healthy liver breaks these toxins down and gets rid of them Kidney and liver failure
Allergies,Allergy symptoms depend on what allergen is involved The symptoms can affect the airways sinuses and nasal passages skin and digestive system Allergic reactions can range from mild to severe Sometimes allergies can trigger a life-threatening reaction known as anaphylaxis Hay fever also called allergic rhinitis can cause: Sneezing Itching of the skin nose eyes or roof of the mouth Runny stuffy nose Tiredness also called fatigue Watery red or swollen eyes also called allergic conjunctivitis A food allergy can cause: Tingling in the mouth Swelling of the lips tongue face or throat Itchy welts called hives Stuffy nose sneezing or teary eyes that itch Stomach cramps vomiting or diarrhea Anaphylaxis An insect sting allergy can cause: Pain and a large area of swelling called edema at the sting site Itching or hives all over the body Skin warmth and a change in skin color also called flushing Cough chest tightness wheezing or shortness of breath Anaphylaxis A medicine allergy can cause: Hives Itchy skin or rash Facial swelling Wheezing Shortness of breath Vomiting or diarrhea Feeling dizzy Anaphylaxis Atopic dermatitis an allergic skin condition also called eczema can cause skin to: Itch Form red or brown patches that may be harder to see on darker skin tones Flake peel or crack
Alpha-gal syndrome,The symptoms of an alpha-gal allergic reaction usually take longer to start compared with those of other food allergies Most reactions to common food allergens — peanuts or shellfish for example — happen within minutes after you are exposed to them In alpha-gal syndrome reactions usually appear about 3 to 6 hours after you are exposed Foods that can cause a reaction include: Red meat such as beef pork or lamb Organ meats Products made from mammals such as gelatins or dairy products Symptoms of alpha-gal syndrome may include: Hives itching or itchy scaly skin Swelling of the lips face tongue and throat or other body parts Wheezing or shortness of breath Stomach pain diarrhea upset stomach or vomiting The time delay between eating meat products and getting an allergic reaction may be one reason alpha-gal syndrome was not understood at first For example a possible connection between a T-bone steak with dinner and hives at midnight is far from clear Researchers think they know the reason for the delayed reaction They say it's due to the alpha-gal molecules taking longer than other allergens to be digested and enter the system that moves blood through the body
Alzheimer's disease,Memory loss is the key symptom of Alzheimer's disease Early signs include difficulty remembering recent events or conversations But memory gets worse and other symptoms develop as the disease progresses At first someone with the disease may be aware of having trouble remembering things and thinking clearly As symptoms get worse a family member or friend may be more likely to notice the issues Brain changes associated with Alzheimer's disease lead to growing trouble with:
Ambiguous genitalia,
Ameloblastoma,Ameloblastoma often causes no symptoms but signs and symptoms may include pain and a lump or swelling in the jaw If left untreated the tumor can grow very large distorting the shape of the lower face and jaw and shifting teeth out of position
Amenorrhea,Depending on the cause of amenorrhea you might experience other signs or symptoms along with the absence of periods such as: Milky nipple discharge Hair loss Headache Vision changes Excess facial hair Pelvic pain Acne
Amnesia,The two main features of amnesia are: Trouble learning new information Trouble remembering past events and previously familiar information Most people with amnesia have problems with short-term memory so they can't retain new information Recent memories are most likely to be lost More-remote or deeply ingrained memories may be spared For example people may recall experiences from childhood or know the names of past presidents But they may not be able to name the current president know the month or remember what they ate for breakfast Isolated memory loss doesn't affect a person's intelligence general knowledge awareness or attention span It also doesn't affect judgment personality or identity People with amnesia usually can understand written and spoken words and can learn skills such as bike riding or piano playing They may understand they have a memory disorder Amnesia isn't the same as dementia Dementia often includes memory loss but also involves other problems with thinking that lead to a decline in daily functioning These problems include having trouble with language judgment and visual-spatial skills Memory loss also is a common symptom of mild cognitive impairment This disorder involves memory and other cognitive problems that aren't as severe as those experienced in dementia
Ampullary cancer,Signs and symptoms of ampullary cancer may include: Yellowing of the skin and whites of the eyes called jaundice Diarrhea Clay-colored stools Abdominal pain Fever Blood in the stool Nausea Vomiting Weight loss
Amyloidosis,Purpura around the eyes Enlarge image Close Purpura around the eyes Purpura around the eyes Some people with amyloidosis experience purpura — a condition in which small blood vessels leak blood into the skin This most commonly occurs around the eyes but can also affect other parts of the body Enlarged tongue Enlarge image Close Enlarged tongue Enlarged tongue An enlarged tongue (macroglossia) can be a sign of amyloidosis It can sometimes also appear rippled along its edge You may not experience symptoms of amyloidosis until later in the course of the disease Symptoms may vary depending on which organs are affected Signs and symptoms of amyloidosis may include: Severe fatigue and weakness Shortness of breath Numbness tingling or pain in the hands or feet Swelling of the ankles and legs Diarrhea possibly with blood or constipation An enlarged tongue which sometimes looks rippled around its edge Skin changes such as thickening or easy bruising and purplish patches around the eyes
Amyotrophic lateral sclerosis (ALS),Symptoms of ALS vary from person to person Symptoms depend on which nerve cells are affected ALS generally begins with muscle weakness that spreads and gets worse over time Symptoms might include: Trouble walking or doing usual daily activities Tripping and falling Weakness in the legs feet or ankles Hand weakness or clumsiness Slurred speech or trouble swallowing Weakness associated with muscle cramps and twitching in the arms shoulders and tongue Untimely crying laughing or yawning Thinking or behavioral changes ALS often starts in the hands feet arms or legs Then it spreads to other parts of the body Muscles get weaker as more nerve cells die This eventually affects chewing swallowing speaking and breathing There's generally no pain in the early stages of ALS Pain also is not common in the later stages ALS doesn't usually affect bladder control It also usually doesn't affect the senses including the ability to taste smell touch and hear Request an appointment There is a problem with information submitted for this request Review/update the information highlighted below and resubmit the form From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements health tips current health topics and expertise on managing health Click here for an email preview Email Address 1 ErrorEmail field is required ErrorInclude a valid email address Learn more about Mayo Clinic’s use of data To provide you with the most relevant and helpful information and understand which information is beneficial we may combine your email and website usage information with other information we have about you If you are a Mayo Clinic patient this could include protected health information If we combine this information with your protected health information we will treat all of that information as protected health information and will only use or disclose that information as set forth in our notice of privacy practices You may opt-out of email communications at any time by clicking on the unsubscribe link in the e-mail Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox Sorry something went wrong with your subscription Please try again in a couple of minutes Retry
Anal cancer,Anal cancer signs and symptoms include: Bleeding from the anus or rectum Blood in the stool Pain in the area of the anus A mass or growth in the anal canal Anal itching Having to go to the bathroom more often
Anal fissure,Symptoms of an anal fissure include: Pain during bowel movements Pain after bowel movements that can last up to several hours Bright red blood on the stool or toilet paper after a bowel movement A visible crack in the skin around the anus A small lump or skin tag on the skin near the anal fissure
Anal fistula,Symptoms of an anal fistula can include: An opening on the skin around the anus A red inflamed area around the tunnel opening Oozing of pus blood or stool from the tunnel opening Pain in the rectum and anus especially when sitting or passing stool Fever Request an appointment
Anal itching,Symptoms of anal itching may include intense itching inflammation burning and soreness The itching and irritation may be short lived or more persistent depending on the cause Anal itching often is worse at bedtime or in hot humid weather
Anaphylaxis,Symptoms Symptoms of anaphylaxis include hives and itchy pale or flushed skin Blood pressure may be low it may be hard to breathe and the pulse may be weak and fast You may get nauseous vomit have diarrhea feel dizzy and faint Symptoms usually happen minutes after you’ve been exposed to something you’re allergic to but they might not appear for a half hour or longer Anaphylaxis symptoms usually occur within minutes of exposure to an allergen Sometimes however anaphylaxis can occur a half-hour or longer after exposure In rare cases anaphylaxis may be delayed for hours Signs and symptoms include: Skin reactions including hives and itching and flushed or pale skin Low blood pressure (hypotension) Constriction of the airways and a swollen tongue or throat which can cause wheezing and trouble breathing A weak and rapid pulse Nausea vomiting or diarrhea Dizziness or fainting
Anemia,Anemia symptoms depend on the cause and how bad the anemia is Anemia can be so mild that it causes no symptoms at first But symptoms usually then occur and get worse as the anemia gets worse If another disease causes the anemia the disease can mask the anemia symptoms Then a test for another condition might find the anemia Certain types of anemia have symptoms that point to the cause Possible symptoms of anemia include: Tiredness Weakness Shortness of breath Pale or yellowish skin which might be more obvious on white skin than on Black or brown skin Irregular heartbeat Dizziness or lightheadedness Chest pain Cold hands and feet Headaches
Aneurysms,
Angelman syndrome,Angelman syndrome symptoms include: Developmental delays including no crawling or babbling at 6 to 12 months Mental disability also called intellectual disability No speech or little speech Trouble walking moving or balancing Smiling and laughing often and seeming happy Being easy to excite Trouble sucking or feeding Trouble going to sleep and staying asleep People who have Angelman syndrome also may have: Seizures often beginning between 2 and 3 years of age Stiff or jerky movements Small head size by age 2 Tongue thrusting Hair skin and eyes that are light in color Odd behaviors such as hand flapping and arms uplifted while walking Crossed eyes also caused strabismus Curved spine also called scoliosis
Angina,Heart attack Enlarge image Close Heart attack Heart attack A heart attack occurs when an artery supplying the heart with blood and oxygen becomes blocked Fatty deposits build up over time forming plaques in the heart's arteries If a plaque ruptures a blood clot can form and block the arteries causing a heart attack During a heart attack tissue in the heart muscle dies due to lack of blood flow through the heart's arteries Angina symptoms include chest pain and discomfort The chest pain or discomfort may feel like: Burning Fullness Pressure Squeezing Pain also may be felt in the arms neck jaw shoulder or back Other symptoms of angina include: Dizziness Fatigue Nausea Shortness of breath Sweating The severity duration and type of angina can vary New or different symptoms may signal unstable angina or a heart attack Any new or worsening angina symptoms need to be checked immediately by a healthcare professional The healthcare team can determine whether you have stable or unstable angina
Angiosarcoma,Symptoms Angiosarcoma signs and symptoms may vary based on where the cancer occurs Angiosarcoma that affects the skin Most often angiosarcoma occurs in the skin on the head and neck It often happens on the scalp Symptoms of this form of angiosarcoma include: A raised area of skin that looks like a bruise A bruise-like lesion that grows larger over time A lesion that may bleed when scratched or bumped Swelling in the skin around the lesion Angiosarcoma that affects organs When angiosarcoma affects organs such as the liver or the heart it often causes pain Other symptoms depend on the location of the angiosarcoma
Ankylosing spondylitis,Symptoms Early symptoms of ankylosing spondylitis might include back pain and stiffness in the lower back and hips especially in the morning and after periods of inactivity Neck pain and fatigue also are common Over time symptoms might worsen improve or stop at irregular intervals The areas most commonly affected are: The joint between the base of the spine and the pelvis The vertebrae in the lower back The places where tendons and ligaments attach to bones mainly in the spine but sometimes along the back of the heel The cartilage between the breastbone and the ribs The hip and shoulder joints
Anorexia nervosa,The physical and behavioral symptoms of anorexia nervosa relate to how starvation affects the brain It may be hard to notice symptoms because what is seen as a low body weight differs for each person Some people with anorexia may not look very thin Also people often hide their thinness eating habits or physical problems
Anorgasmia in women,An orgasm is a peak feeling of intense pleasure in response to stimulating sexual activity Vaginal penetration during sex indirectly stimulates the clitoris But this may not be enough stimulation for orgasm Many women may also need direct manual or oral stimulation of the clitoris to reach orgasm Anorgasmia or female orgasmic disorder is defined as experiencing any of these in a significant way: Delayed orgasm Absence of orgasm Fewer orgasms Less-intense orgasms Anorgasmia can also be: Lifelong if you've never had an orgasm Acquired if you have new problems with having orgasms Situational if you have problems with orgasm only in certain situations with certain kinds of stimulation or with certain partners Generalized if you have problems with orgasm in any situation Women who don't always reach orgasm during sexual encounters may not find it distressing In that case the lack of an orgasm is not considered a disorder
Anterior vaginal prolapse (cystocele),In mild cases of anterior prolapse you may not notice any signs or symptoms When signs and symptoms occur they may include: A feeling of fullness or pressure in your pelvis and vagina In some cases a bulge of tissue in your vagina that you can see or feel Increased pelvic pressure when you strain cough bear down or lift Problems urinating including difficulty starting a urine stream the feeling that you haven't completely emptied your bladder after urinating feeling a frequent need to urinate or leaking urine (urinary incontinence) Signs and symptoms often are especially noticeable after standing for long periods of time and may go away when you lie down
Anthrax,Symptoms There are four common routes of anthrax infection each with different signs and symptoms In most cases symptoms develop within six days of exposure to the bacteria However it's possible for inhalation anthrax symptoms to take more than six weeks to appear Cutaneous anthrax A skin-related (cutaneous) anthrax infection enters your body through your skin usually through a cut or other sore It's by far the most common route of the disease It's also the mildest With appropriate treatment cutaneous anthrax is seldom fatal Signs and symptoms include: A raised itchy bump resembling an insect bite that quickly develops into a painless sore with a black center Swelling in the sore and nearby lymph glands Sometimes flu-like symptoms including fever and headache Gastrointestinal anthrax A gastrointestinal anthrax infection results from eating undercooked meat from an infected animal It can affect your gastrointestinal tract from your throat to your colon Signs and symptoms include: Nausea Vomiting Abdominal pain Headache Loss of appetite Fever Severe bloody diarrhea in the later stages of the disease Sore throat and difficulty swallowing Swollen neck Inhalation anthrax Inhalation anthrax develops when you breathe in anthrax spores It's the most deadly form of the disease and is often fatal even with treatment Initial signs and symptoms include: Flu-like symptoms for a few hours or days such as sore throat mild fever fatigue and muscle aches Mild chest discomfort Shortness of breath Nausea Coughing up blood Painful swallowing High fever Trouble breathing Shock — an acute medical condition involving collapse of the circulatory system Meningitis Injection anthrax This recently identified route of anthrax infection has so far been reported only in Europe It's contracted through injecting illegal drugs Initial signs and symptoms include: Redness at the area of injection (without an area that changes to black) Significant swelling Shock Multiple organ failure Meningitis
Antibiotic-associated diarrhea,Symptoms For most people antibiotic-associated diarrhea causes mild signs and symptoms such as: Loose stools More-frequent bowel movements Antibiotic-associated diarrhea is likely to begin about a week after you start taking an antibiotic Sometimes however diarrhea and other symptoms don't appear until days or even weeks after you've finished antibiotic treatment Clostridioides difficile (formerly Clostridium difficile) infection C difficile is a toxin-producing bacterium that can cause a more serious antibiotic-associated diarrhea In addition to causing loose stools and more-frequent bowel movements C difficile infection can cause: Severe diarrhea and dehydration Lower abdominal pain and cramping Low-grade fever Nausea Loss of appetite When to see a doctor Call your doctor right away if you have serious signs and symptoms of antibiotic-associated diarrhea These signs and symptoms are common to a number of conditions so your doctor might recommend tests — such as stool or blood tests — to determine the cause
